ct;epad;epan;ewad;ewan;emad;eman
100500;1067;131;611;98;456;33
101100;896;146;482;95;414;51
101400;1725;255;950;171;775;84
101600;397;38;226;25;171;13
101700;665;86;403;58;262;28
101800;1383;212;777;145;606;67
10300;422;81;197;34;225;47
110200;1803;254;987;160;816;94
110600;1412;173;782;116;630;57
111300;909;126;513;71;396;55
111400;496;61;269;36;227;25
111500;1079;175;625;116;454;59
120300;607;66;374;44;233;22
120400;277;35;163;26;114;9
120700;256;31;165;23;91;8
120800;289;40;176;27;113;13
130100;619;73;386;50;233;23
130200;389;45;247;33;142;12
130300;483;51;296;41;187;10
130400;348;37;197;25;151;12
130600;1229;136;718;97;511;39
140100;1299;173;660;116;639;57
140200;853;124;417;71;436;53
140300;1802;288;942;180;860;108
140400;1378;211;718;130;660;81
140500;825;96;475;64;350;32
140600;1765;270;938;168;827;102
140800;2454;318;1272;186;1182;132
141000;540;69;304;45;236;24
141100;785;125;423;87;362;38
141300;1998;334;1056;190;942;144
141400;2867;446;1482;291;1385;155
151600;1219;176;653;133;566;43
151700;2411;409;1266;257;1145;152
160800;991;152;507;94;484;58
160900;914;150;487;93;427;57
170200;1161;185;575;103;586;82
170600;574;99;288;72;286;27
180300;779;150;440;103;339;47
180700;801;121;439;83;362;38
190300;821;120;468;75;353;45
191100;1041;166;542;102;499;64
191400;979;166;546;115;433;51
191500;781;140;404;81;377;59
191600;1766;266;935;173;831;93
191700;1644;256;886;170;758;86
191800;2682;414;1498;273;1184;141
191900;1014;168;566;115;448;53
192000;1558;283;838;193;720;90
20100;2610;335;1242;160;1368;175
202200;1131;152;629;95;502;57
202300;1804;287;985;189;819;98
20300;354;39;175;26;179;13
210700;793;96;460;62;333;34
220600;606;64;308;42;298;22
240600;929;140;471;82;458;58
241200;371;62;192;39;179;23
250300;450;52;236;32;214;20
250700;202;20;111;14;91;6
250900;409;49;226;31;183;18
260200;940;124;511;71;429;53
260700;759;82;402;48;357;34
260900;467;39;261;34;206;5
261200;563;83;291;43;272;40
261400;765;91;450;60;315;31
261500;544;62;312;39;232;23
262000;962;144;540;99;422;45
270100;1119;147;654;101;465;46
270300;651;92;367;66;284;26
270400;406;48;232;30;174;18
270800;1321;212;730;137;591;75
271500;1112;164;615;100;497;64
281400;1077;117;602;84;475;33
281500;630;100;340;59;290;41
290100;988;189;533;119;455;70
290200;2049;312;1137;209;912;103
290400;1903;326;1053;222;850;104
